1177,\core\event\course_viewed,core,viewed,r,0,1,2022-05-18 10:22:54
1198,\core\event\course_viewed,core,viewed,r,2,2,2022-05-18 11:26:45
1201,\core\event\course_viewed,core,viewed,r,2,1,2022-05-18 11:26:54
1205,\core\event\course_viewed,core,viewed,r,0,1,2022-05-18 11:27:21
1208,\core\event\course_viewed,core,viewed,r,0,1,2022-05-22 14:23:56
1211,\core\event\course_viewed,core,viewed,r,2,1,2022-05-22 14:24:13
1212,\core\event\course_viewed,core,viewed,r,2,1,2022-05-22 14:24:15
1214,\core\event\course_viewed,core,viewed,r,2,1,2022-05-22 14:24:22
1216,\core\event\course_viewed,core,viewed,r,2,1,2022-05-22 14:32:59
1222,\core\event\course_viewed,core,viewed,r,2,1,2022-05-22 14:56:50
1224,\core\event\course_viewed,core,viewed,r,2,2,2022-05-22 15:00:49
1229,\core\event\course_viewed,core,viewed,r,2,2,2022-05-22 15:10:42
1241,\core\event\course_viewed,core,viewed,r,3,2,2022-05-22 15:15:33
1251,\core\event\course_viewed,core,viewed,r,2,1,2022-05-22 15:16:50
1260,\core\event\course_viewed,core,viewed,r,3,2,2022-05-22 17:31:45
1264,\core\event\course_viewed,core,viewed,r,0,1,2022-05-22 22:13:06
1268,\core\event\course_viewed,core,viewed,r,0,1,2022-05-22 22:13:38
1271,\core\event\course_viewed,core,viewed,r,0,1,2022-05-23 10:31:40
1272,\core\event\course_viewed,core,viewed,r,0,1,2022-05-23 10:33:07
1273,\core\event\course_viewed,core,viewed,r,0,1,2022-05-27 10:58:16
1277,\core\event\course_viewed,core,viewed,r,2,1,2022-05-27 11:07:26
1284,\core\event\course_viewed,core,viewed,r,0,1,2022-05-31 08:01:42
1288,\core\event\course_viewed,core,viewed,r,2,1,2022-05-31 08:02:15
1316,\core\event\course_viewed,core,viewed,r,2,3,2022-05-31 08:37:24
1333,\core\event\course_viewed,core,viewed,r,2,4,2022-05-31 08:42:15
1346,\core\event\course_viewed,core,viewed,r,4,4,2022-05-31 08:45:01
1351,\core\event\course_viewed,core,viewed,r,2,3,2022-05-31 08:45:29
1360,\core\event\course_viewed,core,viewed,r,4,4,2022-05-31 08:46:00
1361,\core\event\course_viewed,core,viewed,r,4,3,2022-05-31 08:46:03
1364,\core\event\course_viewed,core,viewed,r,2,4,2022-05-31 08:46:24
1365,\core\event\course_viewed,core,viewed,r,2,3,2022-05-31 08:46:28
1367,\core\event\course_viewed,core,viewed,r,4,4,2022-05-31 09:11:17
1370,\core\event\course_viewed,core,viewed,r,4,3,2022-05-31 09:11:34
1372,\core\event\course_viewed,core,viewed,r,0,1,2022-05-31 09:12:18
